"","fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","quality"
"3388",7.6,0.36,0.49,11.3,0.046,87,221,0.9984,3.01,0.43,9.2,5
"1739",7.5,0.15,0.38,1.8,0.054,19,101,0.9946,3.24,0.44,10,5
"1054",9.4,0.29,0.55,2.2,0.05,17,119,0.9962,3.12,0.69,10.3,4
"1597",6.6,0.55,0.01,2.7,0.034,56,122,0.9906,3.15,0.3,11.9,5
"4861",6,0.52,0.33,7.7,0.046,24,119,0.99224,3.04,0.38,11,6
"4303",7.1,0.39,0.39,11.1,0.034,25,204,0.99616,3.05,0.52,10,6
"4506",6.4,0.28,0.23,6,0.051,50,162,0.994,3.15,0.52,10.2,5
"2068",7.6,0.29,0.29,4.4,0.051,26,146,0.9939,3.16,0.39,10.2,5
"3304",6.3,0.22,0.34,5,0.032,36,93,0.99012,3.27,0.36,13.5,7
"318",6.6,0.24,0.35,7.7,0.031,36,135,0.9938,3.19,0.37,10.5,5
"631",7,0.23,0.42,18.05,0.05,35,144,0.9999,3.22,0.42,8.8,5
"2978",6.6,0.23,0.2,11.4,0.044,45,131,0.99604,2.96,0.51,9.7,6
"1617",6.9,0.34,0.49,7.3,0.045,61,206,0.9957,3.09,0.4,9,6
"1749",8,0.27,0.24,1.2,0.044,20,102,0.9929,3.28,0.42,10.9,5
"1221",6.4,0.23,0.33,1.15,0.044,15.5,217.5,0.992,3.33,0.44,11,6
"2988",6.8,0.18,0.28,9.8,0.039,29,113,0.99406,3.11,0.45,10.9,7
"1851",7.1,0.25,0.25,1.6,0.046,50,181,0.9925,3.2,0.42,11,7
"4675",5.8,0.35,0.29,3.2,0.034,41,151,0.9912,3.35,0.58,11.6333333333333,7
"1814",7.2,0.15,0.38,1.2,0.038,18,110,0.9917,3.19,0.43,11.1,6
"3646",5.9,0.18,0.28,5.1,0.039,50,139,0.99165,3.16,0.44,11.3,6
"2083",7.5,0.33,0.32,11.1,0.036,25,119,0.9962,3.15,0.34,10.5,6
"4375",6.4,0.35,0.21,2.1,0.051,46,171,0.9932,3.16,0.5,9.5,5
"3608",6.8,0.14,0.18,1.4,0.047,30,90,0.99164,3.27,0.54,11.2,6
"2395",6.3,0.695,0.55,12.9,0.056,58,252,0.99806,3.29,0.49,8.7,5
"2281",6.4,0.16,0.25,1.3,0.047,20,77,0.9933,3.61,0.54,10.2,6
"1577",6.2,0.27,0.49,1.4,0.05,20,74,0.9931,3.32,0.44,9.8,6
"1421",9.2,0.28,0.49,11.8,0.042,29,137,0.998,3.1,0.34,10.1,4
"2105",6,0.16,0.3,6.7,0.043,43,153,0.9951,3.63,0.46,10.6,5
"765",6.3,0.3,0.28,5,0.042,36,168,0.99505,3.22,0.69,9.5,6
"4275",5.7,0.22,0.2,16,0.044,41,113,0.99862,3.22,0.46,8.9,6
"367",6,0.18,0.27,1.5,0.089,40,143,0.9923,3.49,0.62,10.8,6
"4276",5.7,0.22,0.2,16,0.044,41,113,0.99862,3.22,0.46,8.9,6
"4768",6.6,0.19,0.25,1.2,0.052,34,181,0.99352,3.3,0.42,9.4,7
"4525",6.6,0.16,0.25,9.8,0.049,59.5,137,0.995,3.16,0.38,10,6
"3512",6.5,0.19,0.28,1.4,0.046,22,90,0.99038,3.18,0.51,11.7,7
"2249",7.4,0.2,0.29,1.7,0.047,16,100,0.99243,3.28,0.45,10.6,6
"1140",9,0.31,0.49,6.9,0.034,26,91,0.9937,2.99,0.34,11.5,5
"4258",5.8,0.32,0.23,1.5,0.033,39,121,0.9887,2.96,0.35,12,5
"4668",6.1,0.16,0.34,6.1,0.034,31,114,0.99365,3.32,0.58,10.15,7
"991",8.6,0.16,0.38,3.4,0.04,41,143,0.9932,2.95,0.39,10.2,6
"4711",5.4,0.33,0.31,4,0.03,27,108,0.99031,3.3,0.43,12.2,7
"2151",7,0.24,0.34,3,0.035,36,102,0.9905,3.18,0.43,12.2,6
"1298",7.3,0.42,0.38,6.8,0.045,29,122,0.9925,3.19,0.37,12.6,7
"3254",5.3,0.3,0.16,4.2,0.029,37,100,0.9905,3.3,0.36,11.8,8
"2658",6.45,0.14,0.42,1.2,0.05,51,129,0.99116,3.27,0.69,11.1,7
"3140",6.2,0.19,0.29,4.3,0.045,33,126,0.99658,3.18,0.42,9.3,6
"4579",4.8,0.13,0.32,1.2,0.042,40,98,0.9898,3.42,0.64,11.8,7
"3223",6.6,0.16,0.34,1.1,0.037,41,115,0.9899,3.01,0.68,12,6
"280",7,0.3,0.49,4.7,0.036,17,105,0.9916,3.26,0.68,12.4,7
"2523",7.3,0.17,0.24,8.1,0.121,32,162,0.99508,3.17,0.38,10.4,8
"2835",6.2,0.15,0.27,1.4,0.041,51,117,0.9909,3.28,0.38,11.2,6
"4260",3.8,0.31,0.02,11.1,0.036,20,114,0.99248,3.75,0.44,12.4,6
"4012",6,0.26,0.29,3.1,0.041,37,144,0.98944,3.22,0.39,12.8,7
"3533",7.2,0.23,0.46,6.4,0.036,17,85,0.99279,3.1,0.78,11.7,6
"4566",5.8,0.28,0.66,9.1,0.039,26,159,0.9965,3.66,0.55,10.8,5
"3437",6.9,0.24,0.23,7.1,0.041,20,97,0.99246,3.1,0.85,11.4,6
"293",7.4,0.28,0.42,19.8,0.066,53,195,1,2.96,0.44,9.1,5
"1752",6.7,0.16,0.28,2.5,0.046,40,153,0.9921,3.38,0.51,11.4,7
"2027",6.4,0.26,0.4,1.7,0.179,5,60,0.9925,3.09,0.54,10.1,5
"3285",8,0.34,0.25,6.4,0.035,38,103,0.99148,2.91,0.23,12.2,6
"36",7.3,0.28,0.43,1.7,0.08,21,123,0.9905,3.19,0.42,12.8,5
"1741",6.6,0.37,0.47,6.5,0.061,23,150,0.9954,3.14,0.45,9.6,6
"3472",6.8,0.19,0.4,9.85,0.055,41,103,0.99532,2.98,0.56,10.5,6
"1097",6.5,0.28,0.26,8.8,0.04,44,139,0.9956,3.32,0.37,10.2,6
"1532",8.1,0.3,0.49,8.1,0.037,26,174,0.9943,3.1,0.3,11.2,7
"1125",9.6,0.23,0.4,1.5,0.044,19,135,0.9937,2.96,0.49,10.9,5
"582",5.7,0.18,0.22,4.2,0.042,25,111,0.994,3.35,0.39,9.4,5
"3145",6.2,0.23,0.36,17.2,0.039,37,130,0.99946,3.23,0.43,8.8,6
"3425",6.4,0.32,0.27,4.9,0.034,18,122,0.9916,3.36,0.71,12.5,6
"333",6.3,0.23,0.3,1.8,0.033,16,91,0.9906,3.28,0.4,11.8,6
"3719",6.6,0.26,0.22,18.15,0.05,23,139,0.99904,3.06,0.5,9.2,5
"1508",7.8,0.26,0.74,7.5,0.044,59,160,0.996,3.22,0.64,10,6
"4081",5.7,0.25,0.27,10.8,0.05,58,116,0.99592,3.1,0.5,9.8,6
"1754",7.4,0.23,0.25,1.4,0.049,43,141,0.9934,3.42,0.54,10.2,7
"3417",7.2,0.37,0.4,11.6,0.032,34,214,0.9963,3.1,0.51,9.8,6
"2030",7.6,0.34,0.39,7.6,0.04,45,215,0.9965,3.11,0.53,9.2,6
"4436",6.5,0.29,0.3,9.15,0.051,25,166,0.99339,3.24,0.56,11.3333333333333,6
"601",6.7,0.3,0.35,1.4,0.18,36,160,0.9937,3.11,0.54,9.4,6
"1153",6.1,0.6,0,1.3,0.042,24,79,0.9937,3.31,0.38,9.4,4
"706",8.6,0.27,0.46,6.1,0.032,13,41,0.993,2.89,0.34,10.9,5
"96",7.1,0.26,0.29,12.4,0.044,62,240,0.9969,3.04,0.42,9.2,6
"4831",5.8,0.29,0.27,1.6,0.062,17,140,0.99138,3.23,0.35,11.1,6
"2374",7.6,0.48,0.37,1.2,0.034,5,57,0.99256,3.05,0.54,10.4,3
"4314",6.4,0.27,0.3,1.6,0.04,19,86,0.99089,3.32,0.65,11.5,6
"3516",6.8,0.19,0.33,1.3,0.031,22,87,0.98987,3.08,0.62,12.3,7
"2987",6.7,0.18,0.28,10.2,0.039,29,115,0.99469,3.11,0.45,10.9,7
"3179",7.6,0.15,0.35,4.3,0.051,23,98,0.99422,3.1,0.44,9.5,6
"1130",7.9,0.25,0.29,5.3,0.031,33,117,0.9918,3.06,0.32,11.8,7
"750",7.3,0.3,0.42,7.35,0.025,51,175,0.9928,3.04,0.32,11.4,6
"221",7.5,0.27,0.36,7,0.036,45,164,0.9939,3.03,0.33,11,5
"1670",7.1,0.31,0.38,1.2,0.036,10,124,0.9924,3.14,0.44,9.9,6
"4134",5.7,0.25,0.27,11.5,0.04,24,120,0.99411,3.33,0.31,10.8,6
"4136",5.9,0.26,0.24,2.4,0.046,27,132,0.99234,3.63,0.73,11.3,5
"2009",7.2,0.15,0.39,1.8,0.043,21,159,0.9948,3.52,0.47,10,5
"3409",7.1,0.32,0.3,9.9,0.041,63,192,0.99642,3.12,0.49,10.2,6
"3054",7.6,0.17,0.36,4.5,0.042,26,102,0.99427,3.09,0.47,9.5,5
"1861",6.7,0.18,0.19,4.7,0.046,57,161,0.9946,3.32,0.66,10.5,6
"497",7.2,0.4,0.62,10.8,0.041,70,189,0.9976,3.08,0.49,8.6,4
"1154",5.3,0.395,0.07,1.3,0.035,26,102,0.992,3.5,0.35,10.6,6
"1091",8.3,0.21,0.58,17.1,0.049,62,213,1.0006,3.01,0.51,9.3,6
"226",7.1,0.24,0.41,17.8,0.046,39,145,0.9998,3.32,0.39,8.7,5
"3931",6.1,0.28,0.26,1.5,0.03,25,101,0.98894,3.03,0.41,12.1,6
"2706",6.7,0.26,0.39,6.4,0.171,64,200,0.99562,3.19,0.38,9.4,6
"2604",6.7,0.3,0.29,2.8,0.025,37,107,0.99159,3.31,0.63,11.3,7
"808",6.2,0.29,0.26,13.1,0.046,55,204,0.99745,3.16,0.41,9.6,6
"4783",6.7,0.3,0.5,12.1,0.045,38,127,0.9974,3.04,0.53,8.9,6
"4782",5.6,0.3,0.1,6.4,0.043,34,142,0.99382,3.14,0.48,9.8,5
"3618",7,0.29,0.33,0.9,0.041,20,117,0.99048,3.21,0.5,11.4,5
"2442",7.2,0.2,0.28,1.6,0.028,13,168,0.99203,3.17,1.06,11.5,6
"2496",6.3,0.18,0.22,1.5,0.043,45,155,0.99238,3.19,0.48,10.2,5
"2490",6.1,0.28,0.24,19.95,0.074,32,174,0.99922,3.19,0.44,9.3,6
"925",7.9,0.28,0.41,2,0.044,50,152,0.9934,3.45,0.49,10.7,8
"948",8.5,0.16,0.35,1.6,0.039,24,147,0.9935,2.96,0.36,10,5
"3714",6.6,0.28,0.23,10.4,0.049,45,190,0.99754,3.12,0.51,8.8,5
"1718",6.8,0.27,0.32,1.5,0.044,19,142,0.9921,3.1,0.43,9.9,6
"2716",7.8,0.25,0.28,7.2,0.04,46,179,0.99541,3.14,0.6,10.1,6
"4811",5.4,0.375,0.4,3.3,0.054,29,147,0.99482,3.42,0.52,9.1,5
"994",7,0.24,0.18,1.3,0.046,9,62,0.994,3.38,0.47,10.1,4
"279",6.8,0.32,0.34,1.2,0.044,14,67,0.9919,3.05,0.47,10.6,4
"1277",8,0.22,0.42,14.6,0.044,45,163,1.0003,3.21,0.69,8.6,7
"2386",7.6,0.2,0.68,12.9,0.042,56,160,0.99841,3.05,0.41,8.7,5
"3397",7.4,0.29,0.28,10.2,0.032,43,138,0.9951,3.1,0.47,10.6,6
"1768",7.4,0.32,0.22,1.7,0.051,50,179,0.9955,3.28,0.69,8.9,5
"3473",6.7,0.16,0.36,2,0.045,24,131,0.99284,3.3,0.59,10.5,6
"3204",6.4,0.22,0.38,9.1,0.044,35,127,0.99326,2.97,0.3,11,7
"1427",7.2,0.22,0.49,1,0.045,34,140,0.99,3.05,0.34,12.7,6
"2495",7.6,0.31,0.23,12.7,0.054,20,139,0.99836,3.16,0.5,9.7,4
"1844",8.3,0.28,0.45,7.8,0.059,32,139,0.9972,3.33,0.77,11.2,6
"3705",7.5,0.24,0.31,13.1,0.05,26,180,0.99884,3.05,0.53,9.1,6
"2446",6.6,0.34,0.34,2.6,0.051,40.5,210,0.99314,3.15,0.61,10,5
"3730",7.5,0.28,0.41,1.3,0.044,11,126,0.99293,3.28,0.45,10.3,5
"1551",7.9,0.18,0.49,5.2,0.051,36,157,0.9953,3.18,0.48,10.6,6
"3652",6.3,0.32,0.17,17.75,0.06,51,190,0.99916,3.13,0.48,8.8,6
"859",6.7,0.22,0.39,10.2,0.038,60,149,0.99725,3.17,0.54,10,7
"2873",4.2,0.17,0.36,1.8,0.029,93,161,0.98999,3.65,0.89,12,7
"854",7.7,0.34,0.58,11.1,0.039,41,151,0.9978,3.06,0.49,8.6,5
"3971",6.7,0.18,0.31,10.6,0.035,42,143,0.99572,3.08,0.49,9.8,7
"3729",6.2,0.2,0.33,5.4,0.028,21,75,0.99012,3.36,0.41,13.5,7
"3751",7,0.15,0.28,14.7,0.051,29,149,0.99792,2.96,0.39,9,7
"1052",6.9,0.21,0.81,1.1,0.137,52,123,0.9932,3.03,0.39,9.2,6
"4290",6.6,0.26,0.27,11.8,0.048,28,112,0.99606,2.87,0.49,9.7,6
"4785",6.4,0.31,0.31,12.9,0.045,55,161,0.99546,3.02,0.59,10.2,5
"175",7.5,0.27,0.31,17.7,0.051,33,173,0.999,3.09,0.64,10.2,5
"3995",6.7,0.28,0.34,8.9,0.048,32,111,0.99455,3.25,0.54,11,7
"1366",6.7,0.13,0.28,1.2,0.046,35,140,0.9927,3.33,0.33,10.1,7
"4142",6.8,0.28,0.29,11.9,0.052,51,149,0.99544,3.02,0.58,10.4,6
"3507",7.5,0.33,0.28,4.9,0.042,21,155,0.99385,3.36,0.57,10.9,6
"3554",5.7,0.22,0.22,16.65,0.044,39,110,0.99855,3.24,0.48,9,6
"3534",6.6,0.22,0.3,14.7,0.045,50,136,0.99704,3.14,0.37,10.6,6
"4015",6.5,0.18,0.48,18,0.054,56,183,1.00038,2.98,0.61,8.5,6
"825",8.4,0.18,0.42,5.1,0.036,7,77,0.9939,3.16,0.52,11.7,5
"4213",6.6,0.31,0.37,6.2,0.052,13,164,0.99602,3.24,0.39,8.8,4
"44",6.6,0.24,0.27,1.4,0.057,33,152,0.9934,3.22,0.56,9.5,6
"2485",6.4,0.3,0.16,7.5,0.05,55,191,0.9959,3.17,0.49,9,5
"3891",6.4,0.38,0.26,8.2,0.043,28,98,0.99234,2.99,0.31,11.4,6
"4280",6.2,0.24,0.27,16.8,0.04,48,129,0.99691,3.23,0.38,10.5,6
"704",6.4,0.33,0.28,1.1,0.038,30,110,0.9917,3.12,0.42,10.5,6
"3121",6.2,0.25,0.42,8,0.049,53,206,0.99586,3.16,0.47,9.1,6
"3202",7.9,0.34,0.44,6.5,0.027,47,126,0.99124,2.96,0.37,12.5,6
"1750",6.1,0.17,0.27,1.5,0.056,45,135,0.9924,3.2,0.43,10.2,6
"340",6.6,0.18,0.35,1.5,0.049,49,141,0.9934,3.43,0.85,10.2,7
"1675",6.8,0.22,0.29,8.9,0.046,82,188,0.9955,3.3,0.44,10.3,6
"2073",6.6,0.23,0.27,5.6,0.043,43,164,0.9953,3.27,0.76,9.5,5
"507",7.3,0.51,0.26,3.3,0.09,7,135,0.9944,3.01,0.52,8.8,5
"4412",5.8,0.3,0.38,4.9,0.039,22,86,0.98963,3.23,0.58,13.1,7
"2226",7.6,0.23,0.26,15.3,0.067,32,166,0.9986,3.03,0.44,9.2,4
"4467",6.2,0.32,0.24,4.1,0.051,34,149,0.99306,3.36,0.52,11,5
"3959",5.6,0.185,0.19,7.1,0.048,36,110,0.99438,3.26,0.41,9.5,6
"4671",6.6,0.285,0.49,11.4,0.035,57,137,0.99732,3.08,0.54,8.9,6
"4764",5.3,0.4,0.25,3.9,0.031,45,130,0.99072,3.31,0.58,11.75,7
"2478",6.1,0.27,0.31,1.5,0.035,17,83,0.99076,3.32,0.44,11.1,7
"3614",7,0.16,0.25,14.3,0.044,27,149,0.998,2.91,0.46,9.2,6
"1088",7,0.24,0.32,1.3,0.037,39,123,0.992,3.17,0.42,11.2,8
"4502",6.6,0.54,0.21,16.3,0.055,41,182,0.9986,3.35,0.54,10.4,6
"1058",7.2,0.51,0.24,10,0.093,35,197,0.9981,3.41,0.47,9,5
"4661",6.6,0.33,0.41,2,0.027,14,79,0.99063,3.27,0.63,12.4,6
"3152",6.2,0.23,0.36,17.2,0.039,37,130,0.99946,3.23,0.43,8.8,6
"1253",5.6,0.245,0.32,1.1,0.047,24,152,0.9927,3.12,0.42,9.3,6
"858",8.2,0.4,0.48,13.7,0.042,59,169,0.9986,3.1,0.52,9.4,5
"3612",6.8,0.14,0.18,1.4,0.047,30,90,0.99164,3.27,0.54,11.2,6
"4364",7.1,0.31,0.25,11.2,0.048,32,136,0.99663,3.14,0.4,9.5,5
"4894",6.2,0.21,0.29,1.6,0.039,24,92,0.99114,3.27,0.5,11.2,6
"4695",6.9,0.19,0.31,19.25,0.043,38,167,0.99954,2.93,0.52,9.1,7
"2883",7,0.24,0.3,6.7,0.039,37,125,0.99436,3.2,0.39,9.9,5
"1524",8,0.25,0.49,9,0.044,31,185,0.998,3.34,0.49,10,6
"2802",6.8,0.26,0.44,8.2,0.046,52,183,0.99584,3.2,0.51,9.4,5
"1268",8,0.22,0.42,14.6,0.044,45,163,1.0003,3.21,0.69,8.6,7
"3434",6.2,0.255,0.27,1.3,0.037,30,86,0.98834,3.05,0.59,12.9,7
"2451",6.6,0.56,0.15,10,0.037,38,157,0.99642,3.28,0.52,9.4,5
"1573",6.9,0.22,0.49,7,0.063,50,168,0.9957,3.54,0.5,10.3,6
"3991",7.3,0.23,0.41,14.6,0.048,73,223,0.99863,3.16,0.71,9.4,6
"1419",6.9,0.35,0.74,1,0.044,18,132,0.992,3.13,0.55,10.2,5
"4059",6.9,0.19,0.35,13.5,0.038,49,118,0.99546,3,0.63,10.7,6
"2144",6.5,0.14,0.32,2.7,0.037,18,89,0.9924,3.4,0.74,11.5,7
"212",6.8,0.18,0.38,1.4,0.038,35,111,0.9918,3.32,0.59,11.2,7
"375",5.1,0.33,0.22,1.6,0.027,18,89,0.9893,3.51,0.38,12.5,7
"124",6.9,0.19,0.28,5,0.058,14,146,0.9952,3.29,0.36,9.1,6
"569",6.1,0.26,0.51,2.2,0.05,61,154,0.9929,3.08,0.6,9.8,6
"533",7.4,0.25,0.36,13.2,0.067,53,178,0.9976,3.01,0.48,9,6
"890",6.5,0.3,0.32,2,0.044,34,90,0.99185,3.37,0.68,11,7
"558",6.1,0.41,0.24,1.6,0.049,16,137,0.993,3.32,0.5,10.4,6
"1351",8,0.57,0.39,3.9,0.034,22,122,0.9917,3.29,0.67,12.8,7
"3874",7.6,0.37,0.51,11.7,0.094,58,181,0.99776,2.91,0.51,9,5
"1604",5.6,0.41,0.24,1.9,0.034,10,53,0.98815,3.32,0.5,13.5,7
"4085",6.5,0.33,0.24,14.5,0.048,20,96,0.99456,3.06,0.3,11.5,8
"2287",6.6,0.41,0.24,4.9,0.158,47,144,0.99471,3.17,0.49,9.4,5
"2253",7.2,0.29,0.2,7.7,0.046,51,174,0.99582,3.16,0.52,9.5,5
"1569",7.4,0.3,0.49,8.2,0.055,49,188,0.9974,3.52,0.58,9.7,6
"2069",5.7,0.32,0.18,1.4,0.029,26,104,0.9906,3.44,0.37,11,6
"4403",6.8,0.43,0.26,5.2,0.043,40,176,0.99116,3.17,0.41,12.3,6
"1871",6.3,0.19,0.21,1.8,0.049,35,163,0.9924,3.31,0.5,10.3,6
"3382",6.9,0.19,0.35,6.9,0.045,51,125,0.9933,3.1,0.44,10.7,7
"2175",7.4,0.19,0.3,12.8,0.053,48.5,229,0.9986,3.14,0.49,9.1,7
"396",6.8,0.27,0.12,1.3,0.04,87,168,0.992,3.18,0.41,10,5
"4315",6.3,0.41,0.22,7.3,0.035,23,117,0.99172,3.2,0.39,11.94,7
"1694",6.7,0.265,0.22,8.6,0.048,54,198,0.9955,3.25,0.41,10.2,5
"2688",6.6,0.24,0.38,8,0.042,56,187,0.99577,3.21,0.46,9.2,5
"3144",5.5,0.19,0.27,0.9,0.04,52,103,0.99026,3.5,0.39,11.2,5
"2132",7.1,0.22,0.32,16.9,0.056,49,158,0.9998,3.37,0.38,9.6,6
"4693",6,0.36,0.32,1.1,0.053,26,173,0.99414,3.38,0.54,8.8,5
"2806",7.3,0.2,0.26,1.6,0.04,36,123,0.99238,3.34,0.44,10.8,6
"2530",6.6,0.42,0.13,12.8,0.044,26,158,0.99772,3.24,0.47,9,5
"4509",5.8,0.26,0.3,2.6,0.034,75,129,0.9902,3.2,0.38,11.5,4
"3250",6.4,0.23,0.35,4.6,0.039,43,147,0.99216,3.18,0.4,11,7
"932",6.4,0.26,0.43,12.6,0.033,64,230,0.9974,3.08,0.38,8.9,5
"2542",9,0.26,0.34,6.7,0.029,21,162,0.99497,3.08,0.5,10.6,6
"734",6.6,0.25,0.3,14.4,0.052,40,183,0.998,3.02,0.5,9.1,6
"2443",7.6,0.285,0.32,14.6,0.063,32,201,0.998,3,0.45,9.2,5
"1914",8.3,0.23,0.3,2.1,0.049,21,153,0.9953,3.09,0.5,9.6,6
"2809",7,0.27,0.48,6.1,0.042,60,184,0.99566,3.2,0.5,9.4,6
"561",6.7,0.21,0.42,9.1,0.049,31,150,0.9953,3.12,0.74,9.9,7
"4229",6.2,0.29,0.23,12.4,0.048,33,201,0.99612,3.11,0.56,9.9,6
"2781",6.2,0.235,0.34,1.9,0.036,4,117,0.99032,3.4,0.44,12.2,5
"1690",7.1,0.16,0.25,1.3,0.034,28,123,0.9915,3.27,0.55,11.4,6
"4452",6.3,0.3,0.19,7.7,0.049,47,184,0.99514,3.22,0.48,9.5,5
"2850",7.7,0.43,0.37,10,0.169,22,210,0.99776,3.02,0.64,9.5,5
"4426",6.1,0.22,0.5,6.6,0.045,30,122,0.99415,3.22,0.49,9.9,6
"2332",7.5,0.3,0.32,1.4,0.032,31,161,0.99154,2.95,0.42,10.5,5
"1591",7.9,0.14,0.74,1.2,0.028,30,165,0.991,3.08,0.82,12.3,6
"1743",6.3,0.25,0.23,14.9,0.039,47,142,0.99705,3.14,0.35,9.7,6
"4037",7.3,0.33,0.22,1.4,0.041,40,177,0.99287,3.14,0.48,9.9,5
"2487",6.7,0.24,0.32,10.3,0.079,37,122,0.99662,3.02,0.45,8.8,5
"1806",7.5,0.33,0.39,12.4,0.065,29,119,0.9974,3.16,0.39,9.4,5
"4694",6.7,0.16,0.32,12.5,0.035,18,156,0.99666,2.88,0.36,9,6
"278",7.7,0.26,0.4,1.1,0.042,9,60,0.9915,2.89,0.5,10.6,5
"2357",7.1,0.34,0.32,2,0.051,29,130,0.99354,3.3,0.5,10.4,6
"820",6.6,0.56,0.22,8.9,0.034,27,133,0.99675,3.2,0.51,9.1,5
"3085",6.6,0.17,0.35,2.6,0.03,33,78,0.99146,3.22,0.72,11.3,6
"1344",6.6,0.25,0.31,12.4,0.059,52,181,0.9984,3.51,0.47,9.8,6
"4117",6.2,0.35,0.2,18.1,0.069,33,158,0.99908,3.15,0.5,8.8,6
"801",7.8,0.27,0.58,11.2,0.036,44,161,0.9977,3.06,0.41,8.9,6
"391",7,0.3,0.38,14.9,0.032,60,181,0.9983,3.18,0.61,9.3,7
"4474",7.1,0.36,0.2,1.6,0.271,24,140,0.99356,3.11,0.63,9.8,5
"1368",7.6,0.27,0.24,3.8,0.058,19,115,0.9958,3.15,0.45,8.9,5
"2928",7,0.31,0.31,9.1,0.036,45,140,0.99216,2.98,0.31,12,7
"4397",7.4,0.27,0.26,11.8,0.053,55,173,0.99699,3.11,0.6,9.8,5
"1480",7.7,0.16,0.49,2,0.056,20,124,0.9948,3.32,0.49,10.7,6
"3115",6.3,0.17,0.32,4.2,0.04,37,117,0.99182,3.24,0.43,11.3,6
"8",7,0.27,0.36,20.7,0.045,45,170,1.001,3,0.45,8.8,6
"3925",8.6,0.31,0.3,0.9,0.045,16,109,0.99249,2.95,0.39,10.1,5
"283",6.8,0.44,0.37,5.1,0.047,46,201,0.9938,3.08,0.65,10.5,4
"4472",6.2,0.2,0.28,1.1,0.039,24,78,0.9899,3.36,0.47,12.1,6
"1628",8.9,0.32,0.49,1.6,0.05,17,131,0.9956,3.13,0.34,9.4,5
"412",7.3,0.28,0.36,12.7,0.04,38,140,0.998,3.3,0.79,9.6,6
"2032",7.6,0.29,0.26,6.5,0.042,32,160,0.9944,3.14,0.47,10.7,5
"2174",7.6,0.32,0.58,16.75,0.05,43,163,0.9999,3.15,0.54,9.2,5
"852",8.2,0.38,0.49,13.6,0.042,58,166,0.99855,3.1,0.54,9.4,5
"1885",6.4,0.22,0.32,7.9,0.029,34,124,0.9948,3.4,0.39,10.2,5
"1593",6.8,0.21,0.74,1.2,0.047,25,111,0.9916,3.13,0.41,10.7,6
"329",6.5,0.28,0.35,15.4,0.042,55,195,0.9978,3.23,0.5,9.6,6
"1134",8.7,0.22,0.42,2.3,0.053,27,114,0.994,2.99,0.43,10,5
"2365",6.6,0.32,0.24,1.3,0.06,42.5,204,0.99512,3.59,0.51,9.2,5
"3251",6.7,0.13,0.45,4.2,0.043,52,131,0.99162,3.06,0.54,11.3,6
"4148",6.8,0.18,0.35,5.4,0.054,53,143,0.99287,3.1,0.54,11,7
"1159",5.7,0.26,0.27,4.1,0.201,73.5,189.5,0.9942,3.27,0.38,9.4,6
"4670",5.9,0.44,0.33,1.2,0.049,12,117,0.99134,3.46,0.44,11.5,5
"2262",6.5,0.36,0.31,4.1,0.061,20,134,0.99475,3.18,0.45,9,6
"673",7.1,0.32,0.34,14.5,0.039,46,150,0.995,3.38,0.5,12.5,8
"3573",7.6,0.38,0.28,4.2,0.029,7,112,0.9906,3,0.41,12.6,6
"4796",6.4,0.105,0.29,1.1,0.035,44,140,0.99142,3.17,0.55,10.7,7
"4358",5.9,0.28,0.34,3.6,0.04,50,194,0.9912,3.31,0.52,11.6,6
"403",6.1,0.35,0.07,1.4,0.069,22,108,0.9934,3.23,0.52,9.2,5
"4759",6.5,0.2,0.35,3.9,0.04,27,140,0.99102,2.98,0.53,11.8,6
"2148",6.4,0.29,0.2,15.6,0.04,20,142,0.9962,3.1,0.54,10.6,5
"4626",8.3,0.49,0.23,6.65,0.034,6,158,0.99344,3.05,0.48,11.2,5
"637",6.2,0.17,0.28,4.7,0.037,39,133,0.9931,3.41,0.46,10.8,7
"4524",6.7,0.18,0.25,14.3,0.048,79,149,0.9975,3.12,0.37,9.7,5
"2758",5.6,0.12,0.26,4.3,0.038,18,97,0.99477,3.36,0.46,9.2,5
"2246",7.5,0.31,0.24,7.1,0.031,28,141,0.99397,3.16,0.38,10.6,7
"985",6.9,0.19,0.33,1.6,0.043,63,149,0.9925,3.44,0.52,10.8,5
"997",6,0.26,0.34,1.3,0.046,6,29,0.9924,3.29,0.63,10.4,5
"1403",7.4,0.4,0.29,5.4,0.044,31,122,0.994,3.3,0.5,11.1,8
"1634",7.4,0.19,0.49,6.7,0.037,15,110,0.9938,3.2,0.38,11,7
"2881",7.9,0.25,0.35,6.7,0.039,22,64,0.99362,2.93,0.49,10.7,5
"305",7.3,0.41,0.24,6.8,0.057,41,163,0.9949,3.2,0.41,9.9,6
"664",7.1,0.28,0.26,1.9,0.049,12,86,0.9934,3.15,0.38,9.4,5
"3015",7,0.45,0.34,19.8,0.04,12,67,0.9976,3.07,0.38,11,6
"4757",6,0.38,0.26,3.5,0.035,38,111,0.98872,3.18,0.47,13.6,7
"3769",6.3,0.24,0.29,13.7,0.035,53,134,0.99567,3.17,0.38,10.6,6
"1838",7.2,0.24,0.29,2.2,0.037,37,102,0.992,3.27,0.64,11,7
"3427",7.1,0.17,0.4,14.55,0.047,47,156,0.99945,3.34,0.78,9.1,6
