"","fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","quality"
"529",8.2,0.42,0.49,2.6,0.084,32,55,0.9988,3.34,0.75,8.7,6
"1465",6.8,0.59,0.1,1.7,0.063,34,53,0.9958,3.41,0.67,9.7,5
"26",6.3,0.39,0.16,1.4,0.08,11,23,0.9955,3.34,0.56,9.3,5
"76",8.8,0.41,0.64,2.2,0.093,9,42,0.9986,3.54,0.66,10.5,5
"208",7.8,0.57,0.31,1.8,0.069,26,120,0.99625,3.29,0.53,9.3,5
"132",5.6,0.5,0.09,2.3,0.049,17,99,0.9937,3.63,0.63,13,5
"663",7.2,0.57,0.06,1.6,0.076,9,27,0.9972,3.36,0.7,9.6,6
"471",13,0.32,0.65,2.6,0.093,15,47,0.9996,3.05,0.61,10.6,5
"1153",8.3,0.6,0.25,2.2,0.118,9,38,0.99616,3.15,0.53,9.8,5
"244",15,0.21,0.44,2.2,0.075,10,24,1.00005,3.07,0.84,9.2,7
"1054",8.3,0.33,0.42,2.3,0.07,9,20,0.99426,3.38,0.77,12.7,7
"615",9.2,0.755,0.18,2.2,0.148,10,103,0.9969,2.87,1.36,10.2,6
"315",7.4,0.36,0.29,2.6,0.087,26,72,0.99645,3.39,0.68,11,5
"778",6.9,0.635,0.17,2.4,0.241,6,18,0.9961,3.4,0.59,10.3,6
"1226",9.2,0.46,0.23,2.6,0.091,18,77,0.99922,3.15,0.51,9.4,5
"574",10.5,0.59,0.49,2.1,0.07,14,47,0.9991,3.3,0.56,9.6,4
